,id,x,y,vx,vy,fx,fy,E_pot,E_kin
0.0,0,-61.82886,-55.24728,2.64452740245919,-10.081833819379277,-0.016031239540097886,0.00767956174982487,0.41104451589278884,362.3040559770309
0.0,1,-10.42,-50.259346,-8.339294674121597,-4.685761553279711,0.000265960054093739,-0.0005657388601321145,0.03105618415847701,305.15315698175044
0.0,2,35.170666,-58.92549,8.932358505066327,4.253462826630328,-5.209780917956721,-6.187801980135291,73.58091492045239,326.42637989265694
0.0,3,43.736393,-56.007973,3.448085771431446,4.555985834695377,10.035205418611298,-1.111510125168346,73.57766441634789,108.8754185476649
0.0,4,-51.911716,7.861053,-9.032147932189922,0.3884050627196981,-0.00346811451981921,0.0005505371605067921,0.05735478939862134,272.5714001302994
0.0,5,-20.881664,0.9825201,8.598162683085521,1.7628115644514437,-0.0005605876190202252,5.0738856771204155e-05,0.07551540585473336,256.91474696545475
0.0,6,14.551909,-8.88475,-10.431744902432222,0.8966492269678974,0.0005222448640438415,-4.673318352388378e-05,0.02843971825268626,365.6003139547186
0.0,7,63.07007,-0.9799713,-8.212759680945611,-0.300169634884777,0.0002452935999457395,5.278812554898593e-05,0.005532213189092232,225.24431049455353
0.0,8,-44.501423,-68.31891,-7.6091310496223254,-9.487373037781865,-0.012990761606488377,-0.03672270500101149,0.4230425596082497,493.27692349867004
0.0,9,-28.702967,65.28052,9.627806875689023,-1.7888610074637354,-1.8328269753453696e-05,7.608204231956961e-05,0.0016949838151318667,319.8087876135293
1.0,0,-61.69664,-55.75137,2.6443820351073226,-10.081759003939528,-0.01816956470884179,0.009120625333594035,0.46189231311732615,362.2964609053154
1.0,1,-10.836965,-50.493633,-8.339292655497083,-4.68576554102853,0.00026854365205508657,-0.000542465929811442,0.030277873307179536,305.1531693328925
1.0,2,35.61609,-58.714222,8.879349078748406,4.191269675508682,-6.369389169043302,-7.500068526729892,87.13391890720177,321.5259544862879
1.0,3,43.911068,-55.780384,3.5483112168700996,4.547682669678076,12.120112532432358,-1.1253765137445528,87.13109162474528,110.96188706978134
1.0,4,-52.363323,7.880473,-9.032168314897387,0.38840817798086547,-0.0029377244508168587,0.0004539270544228202,0.049141917515012824,272.5726361468313
1.0,5,-20.451756,1.0706607,8.598156624839534,1.7628126292014625,-0.0007257219788243674,0.0001141397915489506,0.06993268663847076,256.91441204599874
1.0,6,14.030322,-8.839918,-10.431740282305263,0.8966482880595572,0.00058051703382489,-9.600848193258571e-05,0.030864964518719215,365.59998687228466
1.0,7,62.65943,-0.99497974,-8.212757793764034,-0.30016921796936297,0.00024950426447745144,5.463381027226433e-05,0.005585768022370957,225.24420628172481
1.0,8,-44.88188,-68.79328,-7.609241789585948,-9.487706278876397,-0.014136131008854136,-0.041626452293712646,0.4735642594351234,493.3036320404502
1.0,9,-28.221577,65.19108,9.627806740884244,-1.788860441023307,-1.8094327828066525e-05,7.573962516715937e-05,0.0016913723356437268,319.8087721981094
2.0,0,-61.564426,-56.255455,2.644217026822988,-10.081670046733324,-0.020614444769307738,0.01084013399131134,0.5197396053071781,362.2875686448286
2.0,1,-11.253929,-50.72792,-8.339290629372046,-4.685769379535422,0.00027002536808140576,-0.0005214654552219145,0.02956451671892297,305.15317660254624
2.0,2,36.0586,-58.506363,8.814778298283342,4.115917084770954,-7.773525772578125,-9.093064192525024,103.08937145045874,315.62803480514896
2.0,3,44.091225,-55.553204,3.6690212550923067,4.539914378939271,14.620036310600454,-1.0899079128714626,103.08692348196159,113.63191936062626
2.0,4,-52.814934,7.8998938,-9.03218570032423,0.3884107759461218,-0.0025003819009725703,0.00037722462502642884,0.04229874144114275,272.573690255802
2.0,5,-20.021849,1.1588013,8.598149295110579,1.7628140994827672,-0.0008906180501071503,0.00016993551344057778,0.06620495028003295,256.9140089759032
2.0,6,13.508736,-8.795086,-10.431735063492777,0.8966468672338314,0.0006521328383541913,-0.00015449226322061804,0.03377487781950899,365.599615251482
2.0,7,62.248795,-1.0099882,-8.212755871843413,-0.30016878586333506,0.00025399578039753123,5.659922218903546e-05,0.005644443665772623,225.24410013553458
2.0,8,-45.26235,-69.26768,-7.609362614381239,-9.48808519964869,-0.015409291285322979,-0.04728227172745392,0.5310753481001079,493.33374411003956
2.0,9,-27.740187,65.10164,9.627806607704754,-1.7888598772478017,-1.7871587189688398e-05,7.538668114648317e-05,0.0016877108535430494,319.80875691886075
3.0,0,-61.43222,-56.759537,2.644029564999248,-10.08156419394082,-0.023409765491123835,0.012893648623560239,0.5856045751498642,362.2771445053609
3.0,1,-11.670894,-50.962208,-8.339288602478774,-4.685773084849508,0.0002705447914195247,-0.0005026481835557206,0.028911725660993502,305.15317966677173
3.0,2,36.49757,-58.30263,8.73649540462346,4.024827339591875,-9.453958455501322,-11.011007016300656,121.68471647158515,308.5728328735577
3.0,3,44.277973,-55.326393,3.8138280807249973,4.533320415561655,17.58540188708443,-0.9826720562415394,121.68260866653897,117.04608919594784
3.0,4,-53.266544,7.9193144,-9.032200597380015,0.3884129591824077,-0.0021380499808856257,0.0003159125053571188,0.03657163365093827,272.5745933810061
3.0,5,-19.591942,1.246942,8.598140586878745,1.7628159643150467,-0.001064953634795529,0.00022233553863770794,0.06418189866439296,256.9135314887115
